地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,0,0,5,10,0,0
天津市,0,0,2,2,0,0
河北省,0,0,0,0,0,0
山西省,0,1,0,0,0,0
内蒙古自治区,0,0,0,0,0,0
辽宁省,0,0,0,0,0,0
吉林省,0,1,0,0,0,0
黑龙江省,0,1,0,0,0,0
上海市,10,10,7,9,0,0
江苏省,0,0,0,0,0,0
浙江省,10,10,5,5,0,0
安徽省,2,3,0,0,0,0
福建省,0,0,0,0,0,0
江西省,0,0,2,2,0,0
山东省,0,0,1,1,0,0
河南省,0,0,1,1,0,0
湖北省,0,0,105,375,3,9
湖南省,0,0,1,1,0,0
广东省,1,1,12,26,0,0
广西壮族自治区,1,2,0,0,0,0
海南省,0,1,0,0,0,0
重庆市,0,0,5,5,0,0
四川省,2,5,2,2,0,0
贵州省,0,1,0,0,0,0
云南省,0,0,1,1,0,0
西藏自治区,0,0,0,0,0,0
陕西省,0,0,0,0,0,0
甘肃省,0,0,0,0,0,0
青海省,0,0,0,0,0,0
宁夏回族自治区,0,1,0,0,0,0
新疆维吾尔自治区,0,0,0,0,0,0
台湾省,0,0,1,1,0,0
香港特别行政区,0,0,1,1,0,0
澳门特别行政区,0,0,1,1,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,0,0,4,14,0,0
天津市,0,0,2,4,0,0
河北省,0,0,1,1,0,0
山西省,1,1,1,1,0,0
内蒙古自治区,0,0,0,0,0,0
辽宁省,0,0,2,2,0,0
吉林省,0,0,1,1,0,0
黑龙江省,0,0,1,1,0,0
上海市,16,16,7,16,0,0
江苏省,0,0,1,1,0,0
浙江省,26,38,5,10,0,0
安徽省,6,8,1,1,0,0
福建省,1,1,1,1,0,0
江西省,5,5,1,3,0,0
山东省,5,5,1,2,0,0
河南省,0,0,4,5,0,0
湖北省,159,279,69,444,8,17
湖南省,10,10,3,4,0,0
广东省,7,7,6,32,0,0
广西壮族自治区,3,3,5,5,0,0
海南省,0,0,4,4,0,0
重庆市,13,13,4,9,0,0
四川省,5,7,3,5,0,0
贵州省,0,0,3,3,0,0
云南省,0,0,0,1,0,0
西藏自治区,0,0,0,0,0,0
陕西省,0,0,0,0,0,0
甘肃省,0,0,0,0,0,0
青海省,0,0,0,0,0,0
宁夏回族自治区,0,0,1,1,0,0
新疆维吾尔自治区,0,0,0,0,0,0
台湾省,0,0,0,1,0,0
香港特别行政区,0,0,0,1,0,0
澳门特别行政区,0,0,0,1,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,0,0,12,26,0,0
天津市,14,47,1,5,0,0
河北省,0,0,1,2,1,1
山西省,22,22,0,1,0,0
内蒙古自治区,2,2,1,1,0,0
辽宁省,0,0,2,4,0,0
吉林省,0,0,2,3,0,0
黑龙江省,2,12,2,3,0,0
上海市,34,34,4,20,0,0
江苏省,0,0,4,5,0,0
浙江省,14,29,20,30,0,0
安徽省,14,14,14,15,0,0
福建省,4,4,4,5,0,0
江西省,12,17,4,7,0,0
山东省,9,9,7,9,0,0
河南省,42,42,4,9,0,0
湖北省,417,710,105,549,7,24
湖南省,20,25,5,9,0,0
广东省,10,17,21,53,0,0
广西壮族自治区,0,2,8,13,0,0
海南省,0,0,1,5,0,0
重庆市,53,71,18,27,0,0
四川省,6,10,10,15,0,0
贵州省,0,0,0,3,0,0
云南省,1,1,1,2,0,0
西藏自治区,0,0,0,0,0,0
陕西省,0,0,3,3,0,0
甘肃省,0,0,2,2,0,0
青海省,0,0,0,0,0,0
宁夏回族自治区,1,1,1,2,0,0
新疆维吾尔自治区,3,3,2,2,0,0
台湾省,0,0,0,1,0,0
香港特别行政区,0,0,1,2,0,0
澳门特别行政区,0,0,1,2,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,0,0,10,36,0,0
天津市,27,51,3,8,0,0
河北省,0,0,6,8,0,1
山西省,9,19,5,6,0,0
内蒙古自治区,4,5,1,2,0,0
辽宁省,0,0,8,12,0,0
吉林省,0,0,1,4,0,0
黑龙江省,12,18,6,9,1,1
上海市,81,72,13,33,0,0
江苏省,0,0,9,14,0,0
浙江省,0,27,19,62,0,0
安徽省,26,20,24,39,0,0
福建省,6,7,5,10,0,0
江西省,27,38,11,18,0,0
山东省,14,11,12,21,0,0
河南省,54,116,23,32,0,0
湖北省,704,1405,180,729,15,39
湖南省,25,35,15,24,0,0
广东省,30,18,25,78,0,0
广西壮族自治区,13,6,10,23,0,0
海南省,0,0,5,10,0,0
重庆市,55,86,30,57,0,0
四川省,25,25,13,28,0,0
贵州省,0,0,1,4,0,0
云南省,4,4,3,5,0,0
西藏自治区,0,0,0,0,0,0
陕西省,0,0,2,5,0,0
甘肃省,0,0,2,4,0,0
青海省,1,1,0,0,0,0
宁夏回族自治区,1,1,1,3,0,0
新疆维吾尔自治区,0,0,1,3,0,0
台湾省,0,0,2,3,0,0
香港特别行政区,0,0,3,5,0,0
澳门特别行政区,0,0,0,2,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,0,0,15,51,0,0
天津市,40,61,2,10,0,0
河北省,7,5,5,13,0,1
山西省,14,28,3,9,0,0
内蒙古自治区,0,0,5,7,0,0
辽宁省,18,24,5,17,0,0
吉林省,3,3,0,4,0,0
黑龙江省,9,13,6,15,0,1
上海市,52,95,7,40,1,1
江苏省,0,0,17,31,0,0
浙江省,0,20,42,104,0,0
安徽省,18,15,21,60,0,0
福建省,25,27,8,18,0,0
江西省,21,30,18,36,0,0
山东省,12,11,18,39,0,0
河南省,114,165,51,83,1,1
湖北省,712,1887,323,1052,13,52
湖南省,34,25,45,69,0,0
广东省,45,40,20,98,0,0
广西壮族自治区,21,21,10,33,0,0
海南省,0,1,10,20,0,0
重庆市,106,146,18,75,0,0
四川省,26,34,16,44,0,0
贵州省,2,2,1,5,0,0
云南省,29,29,6,11,0,0
西藏自治区,0,0,0,0,0,0
陕西省,0,0,10,15,0,0
甘肃省,0,0,3,7,0,0
青海省,0,0,1,1,0,0
宁夏回族自治区,0,1,1,4,0,0
新疆维吾尔自治区,1,1,1,4,0,0
台湾省,0,0,0,3,0,0
香港特别行政区,0,0,0,5,0,0
澳门特别行政区,0,0,0,2,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,0,0,16,67,0,0
天津市,48,85,5,15,0,0
河北省,11,13,5,18,0,1
山西省,34,57,4,13,0,0
内蒙古自治区,4,1,4,11,0,0
辽宁省,37,40,5,22,0,0
吉林省,1,3,2,6,0,0
黑龙江省,40,47,6,21,0,1
上海市,65,90,13,53,0,1
江苏省,0,0,16,47,0,0
浙江省,68,63,24,128,0,0
安徽省,36,43,10,70,0,0
福建省,49,59,17,35,0,0
江西省,50,68,12,48,0,0
山东省,33,35,22,61,0,0
河南省,112,212,45,128,0,1
湖北省,2793,4472,371,1423,24,76
湖南省,47,42,31,100,0,0
广东省,73,54,48,146,0,0
广西壮族自治区,35,40,13,46,0,0
海南省,0,0,7,27,0,0
重庆市,117,188,35,110,0,0
四川省,79,92,25,69,0,0
贵州省,3,3,2,7,0,0
云南省,55,75,10,21,0,0
西藏自治区,0,0,0,0,0,0
陕西省,0,0,7,22,0,0
甘肃省,6,6,7,14,0,0
青海省,3,0,3,4,0,0
宁夏回族自治区,0,0,3,7,0,0
新疆维吾尔自治区,7,6,1,5,0,0
台湾省,0,0,1,4,0,0
香港特别行政区,0,0,3,8,0,0
澳门特别行政区,0,0,3,5,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,0,0,13,80,1,1
天津市,44,88,8,23,0,0
河北省,38,20,15,33,0,1
山西省,23,44,7,20,0,0
内蒙古自治区,1,2,2,13,0,0
辽宁省,22,52,5,27,0,0
吉林省,1,3,2,8,0,0
黑龙江省,36,67,9,30,0,1
上海市,70,129,13,66,0,1
江苏省,0,0,23,70,0,0
浙江省,52,115,45,173,0,0
安徽省,38,42,36,106,0,0
福建省,37,68,24,59,0,0
江西省,46,88,24,72,0,0
山东省,24,42,26,87,0,0
河南省,122,266,40,168,0,1
湖北省,1191,5324,1291,2714,24,100
湖南省,53,52,43,143,0,0
广东省,47,73,42,188,0,0
广西壮族自治区,49,11,5,51,0,0
海南省,21,21,11,38,1,1
重庆市,31,219,22,132,0,0
四川省,78,138,21,90,0,0
贵州省,0,1,2,9,0,0
云南省,51,104,11,32,0,0
西藏自治区,0,0,0,0,0,0
陕西省,0,0,13,35,0,0
甘肃省,0,2,5,19,0,0
青海省,0,0,2,6,0,0
宁夏回族自治区,0,0,4,11,0,0
新疆维吾尔自治区,2,2,5,10,0,0
台湾省,0,0,1,5,0,0
香港特别行政区,0,0,0,8,0,0
澳门特别行政区,0,0,2,7,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,0,0,16,96,0,1
天津市,45,103,2,25,0,0
河北省,45,56,15,48,0,1
山西省,21,41,7,27,0,0
内蒙古自治区,3,3,3,16,0,0
辽宁省,40,72,9,36,0,0
吉林省,1,2,1,9,0,0
黑龙江省,45,68,7,37,0,1
上海市,70,167,14,80,0,1
江苏省,0,0,29,99,0,0
浙江省,105,101,123,296,0,0
安徽省,43,55,46,152,0,0
福建省,45,80,23,82,0,0
江西省,60,107,37,109,0,0
山东省,39,55,34,121,0,0
河南省,232,411,38,206,1,2
湖北省,1876,6940,840,3554,25,125
湖南省,114,85,78,221,0,0
广东省,91,122,53,241,0,0
广西壮族自治区,74,118,7,58,0,0
海南省,27,48,5,43,0,1
重庆市,108,246,15,147,0,0
四川省,87,182,18,108,0,0
贵州省,3,3,0,9,0,0
云南省,65,163,19,51,0,0
西藏自治区,1,1,0,0,0,0
陕西省,0,0,11,46,0,0
甘肃省,5,5,5,24,0,0
青海省,0,0,0,6,0,0
宁夏回族自治区,2,2,1,12,0,0
新疆维吾尔自治区,1,3,3,13,0,0
台湾省,0,0,3,8,0,0
香港特别行政区,0,0,0,8,0,0
澳门特别行政区,0,0,0,7,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,0,0,16,112,0,1
天津市,40,104,2,27,0,0
河北省,38,68,17,65,0,1
山西省,28,54,8,35,0,0
内蒙古自治区,0,0,2,18,0,0
辽宁省,35,85,3,39,0,0
吉林省,5,10,5,14,0,0
黑龙江省,48,105,6,43,0,1
上海市,46,180,21,101,0,1
江苏省,0,0,30,129,0,0
浙江省,103,117,132,428,0,0
安徽省,45,67,48,200,0,0
福建省,54,110,19,101,0,0
江西省,61,123,53,162,0,0
山东省,37,79,24,145,0,0
河南省,267,584,72,278,0,2
湖北省,2493,9033,1032,4586,37,162
湖南省,202,223,56,277,0,0
广东省,78,137,70,311,0,0
广西壮族自治区,102,155,20,78,0,0
海南省,18,66,3,46,0,1
重庆市,152,279,18,165,0,0
四川省,106,243,34,142,1,1
贵州省,6,6,3,12,0,0
云南省,90,191,19,70,0,0
西藏自治区,0,0,1,1,0,0
陕西省,67,116,17,63,0,0
甘肃省,6,8,2,26,0,0
青海省,1,1,0,6,0,0
宁夏回族自治区,0,1,5,17,0,0
新疆维吾尔自治区,20,22,1,14,0,0
台湾省,0,0,0,8,0,0
香港特别行政区,0,0,2,10,0,0
澳门特别行政区,0,0,0,7,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,0,0,20,132,0,1
天津市,77,150,5,32,0,0
河北省,51,78,17,82,0,1
山西省,23,67,4,39,0,0
内蒙古自治区,1,1,2,20,0,0
辽宁省,45,89,6,45,0,0
吉林省,3,10,0,14,0,0
黑龙江省,76,128,16,59,1,2
上海市,91,164,27,128,0,1
江苏省,0,0,39,168,0,0
浙江省,102,154,109,537,0,0
安徽省,71,98,37,237,0,0
福建省,58,116,19,120,0,0
江西省,106,197,78,240,0,0
山东省,54,90,33,178,0,0
河南省,280,735,74,352,0,2
湖北省,2867,11272,1220,5806,42,204
湖南省,152,303,55,332,0,0
广东省,77,151,82,393,0,0
广西壮族自治区,117,256,9,87,0,0
海南省,28,73,3,49,0,1
重庆市,192,378,41,206,0,0
四川省,97,241,36,177,0,1
贵州省,72,75,3,15,0,0
云南省,107,236,10,80,0,0
西藏自治区,0,0,0,1,0,0
陕西省,47,132,24,87,0,0
甘肃省,5,15,4,30,0,0
青海省,0,0,2,8,0,0
宁夏回族自治区,0,1,4,21,0,0
新疆维吾尔自治区,13,28,3,17,0,0
台湾省,0,0,1,9,0,0
香港特别行政区,0,0,2,12,0,0
澳门特别行政区,0,0,0,7,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,0,0,24,156,0,1
天津市,53,142,2,34,0,0
河北省,47,88,14,96,0,1
山西省,28,75,8,47,0,0
内蒙古自治区,4,4,3,23,0,0
辽宁省,55,122,15,60,0,0
吉林省,6,10,3,17,0,0
黑龙江省,76,149,21,80,0,2
上海市,99,167,25,153,0,1
江苏省,36,42,34,202,0,0
浙江省,111,202,62,599,0,0
安徽省,77,117,60,297,0,0
福建省,53,111,24,144,0,0
江西省,118,260,47,286,0,0
山东省,30,83,24,202,0,0
河南省,279,751,70,422,0,2
湖北省,3097,13577,1347,7153,45,249
湖南省,223,426,57,389,0,0
广东省,43,126,127,520,0,0
广西壮族自治区,116,288,13,100,0,0
海南省,30,95,8,57,0,1
重庆市,185,408,32,238,1,1
四川省,81,256,30,207,0,1
贵州省,27,67,14,29,0,0
云南省,90,228,11,91,0,0
西藏自治区,0,0,0,1,0,0
陕西省,47,158,15,101,0,0
甘肃省,1,15,6,35,0,0
青海省,1,1,0,8,0,0
宁夏回族自治区,0,1,5,26,0,0
新疆维吾尔自治区,6,19,1,18,0,0
台湾省,0,0,1,10,0,0
香港特别行政区,0,0,1,13,0,0
澳门特别行政区,0,0,0,7,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,0,0,27,183,0,1
天津市,57,112,11,45,0,0
河北省,60,104,8,104,0,1
山西省,26,64,9,56,0,0
内蒙古自治区,5,7,3,26,0,0
辽宁省,48,116,4,64,0,0
吉林省,10,14,6,23,0,0
黑龙江省,78,172,15,95,0,2
上海市,103,168,24,177,0,1
江苏省,34,47,34,236,0,0
浙江省,109,207,62,661,0,0
安徽省,82,160,43,340,0,0
福建省,39,99,15,159,0,0
江西省,100,312,47,333,0,0
山东省,42,81,23,225,0,0
河南省,254,754,71,493,0,2
湖北省,2606,14872,1921,9074,45,294
湖南省,186,434,74,463,0,0
广东省,69,157,85,604,0,0
广西壮族自治区,136,319,11,111,0,0
海南省,38,101,6,63,0,1
重庆市,175,425,24,262,0,1
四川省,87,247,24,231,0,1
贵州省,24,59,9,38,0,0
云南省,90,261,8,99,0,0
西藏自治区,0,0,0,1,0,0
陕西省,77,201,15,116,0,0
甘肃省,10,20,5,40,0,0
青海省,2,2,1,9,0,0
宁夏回族自治区,7,8,2,28,0,0
新疆维吾尔自治区,8,21,3,21,0,0
台湾省,0,0,0,10,0,0
香港特别行政区,0,0,1,14,0,0
澳门特别行政区,0,0,0,7,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,0,0,32,212,0,1
天津市,65,133,4,49,0,0
河北省,50,108,9,113,0,1
山西省,32,64,10,66,0,0
内蒙古自治区,1,4,7,33,0,0
辽宁省,56,113,6,70,0,0
吉林省,12,17,8,31,0,0
黑龙江省,73,163,23,118,0,2
上海市,96,173,16,193,0,1
江苏省,26,44,35,271,0,0
浙江省,102,201,63,724,0,0
安徽省,75,153,68,408,0,0
福建省,47,96,20,179,0,0
江西省,104,359,59,391,0,0
山东省,28,62,21,246,0,0
河南省,260,760,73,566,0,2
湖北省,3260,16898,2103,11177,56,350
湖南省,183,351,58,521,0,0
广东省,86,205,79,683,0,0
广西壮族自治区,128,330,16,127,0,0
海南省,50,113,7,70,0,1
重庆市,178,398,38,300,1,2
四川省,103,268,23,254,0,1
贵州省,18,41,8,46,0,0
云南省,85,252,10,109,0,0
西藏自治区,0,0,0,1,0,0
陕西省,36,205,12,128,0,0
甘肃省,3,9,11,51,0,0
青海省,0,0,4,13,0,0
宁夏回族自治区,4,12,3,31,0,0
新疆维吾尔自治区,12,26,3,24,0,0
台湾省,0,0,0,10,0,0
香港特别行政区,0,0,1,15,0,0
澳门特别行政区,0,0,1,8,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,65,141,16,228,0,1
天津市,85,168,14,63,0,0
河北省,41,93,13,126,0,1
山西省,21,62,8,74,0,0
内蒙古自治区,0,2,4,37,0,0
辽宁省,42,120,4,74,0,0
吉林省,17,24,11,42,0,0
黑龙江省,93,178,39,155,0,2
上海市,84,168,15,208,0,1
江苏省,39,47,37,308,0,0
浙江省,173,258,105,829,0,0
安徽省,57,124,72,480,0,0
福建省,32,87,15,194,0,0
江西省,92,319,85,476,0,0
山东省,33,70,24,270,0,0
河南省,248,678,109,675,0,2
湖北省,3182,18549,2345,13522,64,414
湖南省,137,289,72,593,0,0
广东省,48,180,114,797,0,0
广西壮族自治区,130,364,12,139,0,0
海南省,31,109,9,79,0,1
重庆市,170,387,37,337,0,2
四川省,82,258,28,282,0,1
贵州省,17,33,10,56,0,0
云南省,64,225,8,117,0,0
西藏自治区,0,0,0,1,0,0
陕西省,53,221,14,142,0,0
甘肃省,7,9,5,56,0,0
青海省,0,0,2,15,0,0
宁夏回族自治区,6,18,3,34,0,0
新疆维吾尔自治区,23,33,5,29,0,0
台湾省,0,0,0,10,0,0
香港特别行政区,0,0,0,15,0,0
澳门特别行政区,0,0,0,8,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,63,160,25,253,0,1
天津市,97,190,4,67,0,0
河北省,58,117,9,135,0,1
山西省,14,42,7,81,0,0
内蒙古自治区,0,1,5,42,0,0
辽宁省,35,127,7,81,0,0
吉林省,48,58,12,54,0,0
黑龙江省,78,184,35,190,0,2
上海市,113,194,25,233,0,1
江苏省,42,43,33,341,0,0
浙江省,144,299,66,895,0,0
安徽省,63,130,50,530,0,0
福建省,40,91,11,205,0,0
江西省,116,343,72,548,0,0
山东省,49,94,28,298,0,0
河南省,258,693,89,764,0,2
湖北省,1957,18447,3156,16678,65,479
湖南省,142,211,68,661,0,0
广东省,34,136,73,870,0,0
广西壮族自治区,155,396,11,150,0,0
海南省,41,118,11,89,0,1
重庆市,175,397,29,366,0,2
四川省,106,281,19,301,0,1
贵州省,12,33,8,64,0,0
云南省,55,172,5,122,0,0
西藏自治区,0,0,0,1,0,0
陕西省,41,215,23,165,0,0
甘肃省,10,18,1,57,0,0
青海省,0,0,2,17,0,0
宁夏回族自治区,6,24,0,34,0,0
新疆维吾尔自治区,19,46,3,32,0,0
台湾省,0,0,1,11,0,0
香港特别行政区,0,0,3,18,1,1
澳门特别行政区,0,0,2,10,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,65,170,21,274,0,1
天津市,97,190,3,70,1,1
河北省,60,133,22,157,0,1
山西省,20,42,9,90,0,0
内蒙古自治区,4,5,4,46,0,0
辽宁省,42,143,8,89,0,0
吉林省,37,69,5,59,0,0
黑龙江省,109,222,37,227,1,3
上海市,102,196,21,254,0,1
江苏省,48,55,32,373,0,0
浙江省,155,322,59,954,0,0
安徽省,84,141,61,591,0,0
福建省,22,78,10,215,0,0
江西省,72,312,52,600,0,0
山东省,37,85,45,343,0,0
河南省,273,688,87,851,0,2
湖北省,3230,19728,2987,19665,70,549
湖南省,167,207,50,711,0,0
广东省,61,148,74,944,0,0
广西壮族自治区,144,391,18,168,0,0
海南省,38,132,11,100,0,1
重庆市,171,379,23,389,0,2
四川省,135,340,20,321,0,1
贵州省,18,37,5,69,1,1
云南省,28,149,6,128,0,0
西藏自治区,0,0,0,1,0,0
陕西省,71,238,8,173,0,0
甘肃省,8,16,5,62,0,0
青海省,0,0,1,18,0,0
宁夏回族自治区,15,39,6,40,0,0
新疆维吾尔自治区,15,47,4,36,0,0
台湾省,0,0,0,11,0,0
香港特别行政区,0,0,3,21,0,1
澳门特别行政区,0,0,0,10,0,0
地区,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
北京市,51,157,23,297,0,1
天津市,101,228,9,79,0,1
河北省,44,117,14,171,0,1
山西省,22,54,6,96,0,0
内蒙古自治区,6,9,3,49,0,0
辽宁省,47,169,5,94,0,0
吉林省,29,71,6,65,1,1
黑龙江省,88,210,50,277,0,3
上海市,94,166,15,269,0,1
江苏省,34,59,35,408,0,0
浙江省,236,422,52,1006,0,0
安徽省,78,141,74,665,0,0
福建省,45,94,9,224,0,0
江西省,73,249,61,661,0,0
山东省,48,96,36,379,0,0
河南省,307,654,63,914,1,3
湖北省,2622,21261,2447,22112,69,618
湖南省,122,183,61,772,0,0
广东省,71,170,74,1018,1,1
广西壮族自治区,142,340,4,172,0,0
海南省,53,150,11,111,1,2
重庆市,177,408,22,411,0,2
四川省,157,409,23,344,0,1
贵州省,38,54,8,77,0,1
云南省,50,123,7,135,0,0
西藏自治区,0,0,0,1,0,0
陕西省,70,260,11,184,0,0
甘肃省,6,21,8,70,0,0
青海省,0,0,0,18,0,0
